Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
10/11/13,36381,4395691,56.497,"8,337,961",90121,170,798
10/12/13,35480,4431171,69.841,"8,407,802",90301,180,2855
10/13/13,31501,4462672,59.556,"8,467,357",90522,221,2208
10/14/13,36186,4498858,60.261,"8,527,618",90770,248,1291
10/15/13,41459,4540317,66.625,"8,594,243",90977,207,934
10/16/13,40644,4580961,64.115,"8,658,358",91171,194,789
10/17/13,40363,4621324,63.927,"8,722,285",91343,172,815
10/18/13,41775,4663099,69.165,"8,791,450",91551,208,1267
10/19/13,32469,4695568,59.523,"8,850,973",91659,108,2146
10/20/13,32016,4727584,60.67,"8,911,643",91815,156,2114
10/21/13,38348,4765932,62.216,"8,973,859",92029,214,849
10/22/13,39741,4805673,60.424,"9,034,282",92213,184,636
10/23/13,35358,4841031,50.319,"9,084,602",92324,111,355
10/24/13,35238,4876269,50.61,"9,135,212",92410,86,444
10/25/13,33711,4909980,50.109,"9,185,320",92505,95,592
10/26/13,26653,4936633,45.372,"9,230,693",92598,93,1387
10/27/13,25980,4962613,44.415,"9,275,108",92698,100,1362
10/28/13,34298,4996911,52.643,"9,327,752",92844,146,530
10/29/13,36280,5033191,53.765,"9,381,516",92944,100,450
10/30/13,37817,5071008,54.94,"9,436,457",93035,91,453
10/31/13,33991,5104999,51.283,"9,487,740",93137,102,464
11/1/13,33193,5138192,52.035,"9,539,774",93221,84,848
11/2/13,33688,5171880,64.833,"9,604,607",93320,94,2434
11/3/13,22414,5194294,34.853,"9,639,461",93424,104,831
11/4/13,29474,5223768,42.802,"9,682,263",93495,71,429
11/5/13,34179,5257947,49.677,"9,731,940",93598,103,471
11/6/13,37785,5295732,58.125,"9,790,064",93706,108,627
11/7/13,27849,5323581,38.518,"9,828,583",93804,93,221
11/8/13,31032,5354613,45.872,"9,874,455",93859,61,456
11/9/13,23522,5378135,39.116,"9,913,570",93918,59,1121
11/10/13,21270,5399405,33.486,"9,947,057",93969,51,952
11/11/13,29544,5428949,43.019,"9,990,076",94061,92,438
11/12/13,21505,5450454,27.48,"10,017,556",94127,66,111
11/13/13,25504,5475958,33.933,"10,051,489",94189,62,157
11/14/13,29194,5505152,40.663,"10,092,152",94250,61,274
11/15/13,31526,5536678,47.207,"10,139,359",94305,55,601
11/16/13,27208,5563886,48.1,"10,187,459",94361,56,1696
11/17/13,19397,5583283,29.366,"10,216,825",94425,64,652
11/18/13,33718,5617001,52.401,"10,269,226",94533,108,515
11/19/13,29633,5646634,40.023,"10,309,249",94593,60,198
11/20/13,28286,5674920,37.925,"10,347,174",94652,59,252
11/21/13,31089,5706009,43.428,"10,390,602",94697,51,289
11/22/13,27503,5733512,38.76,"10,429,362",94739,42,352
11/23/13,20396,5753908,31.638,"10,461,001",94768,29,858
11/24/13,10069,5763977,12.248,"10,473,249",94808,40,137
11/25/13,20649,5784626,26.562,"10,499,811",94843,35,118
11/26/13,16206,5800832,20.283,"10,520,094",94873,30,89
11/27/13,8615,5809447,10.329,"10,530,423",94897,24,49
11/28/13,5668,5815115,8.377,"10,538,800",94912,15,211
11/29/13,10967,5826082,15.406,"10,554,207",94928,16,351
11/30/13,10605,5836687,15.508,"10,569,715",94955,27,401
12/1/13,14322,5851009,21.121,"10,590,837",94997,42,456
12/2/13,26522,5877531,37.728,"10,628,564",95071,74,240
