,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
66,12/6/17,46335.0,87328.0,252724.0,368.0,55.0,194,11/1/17 6:55,11/1/17 6:58,3186,Grove St PATH,40.71958612,-74.04311746,3639,Harborside,40.71925170000001,-74.034234,31684,Subscriber,1989.0,1
67,12/7/17,45367.0,94653.0,252761.0,427.0,65.0,156,11/1/17 6:55,11/1/17 6:58,3187,Warren St,40.721123600000006,-74.03805095,3638,Washington St,40.7242941,-74.0354826,26316,Subscriber,1988.0,1
68,12/8/17,41330.0,81217.0,252791.0,443.0,58.0,457,11/1/17 6:56,11/1/17 7:03,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,31776,Subscriber,1985.0,1
69,12/9/17,10804.0,20955.0,252811.0,112.0,15.0,258,11/1/17 6:58,11/1/17 7:02,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,31762,Subscriber,1991.0,1
70,12/10/17,19815.0,43621.0,252830.0,287.0,26.0,183,11/1/17 6:58,11/1/17 7:01,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,31862,Subscriber,1993.0,1
71,12/11/17,41838.0,81071.0,252869.0,456.0,38.0,547,11/1/17 6:59,11/1/17 7:08,3210,Pershing Field,40.74267714,-74.05178863,3198,Heights Elevator,40.74871595,-74.04044329999999,16703,Subscriber,1990.0,1
72,12/12/17,42620.0,88499.0,252915.0,262.0,42.0,208,11/1/17 6:59,11/1/17 7:03,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,26180,Subscriber,1980.0,1
73,12/13/17,32623.0,60051.0,252942.0,155.0,20.0,201,11/1/17 7:02,11/1/17 7:05,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,29647,Subscriber,1985.0,1
74,12/14/17,27494.0,49648.0,252960.0,134.0,10.0,302,11/1/17 7:02,11/1/17 7:07,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,26274,Subscriber,1956.0,1
75,12/15/17,22944.0,41598.0,252980.0,130.0,9.0,262,11/1/17 7:02,11/1/17 7:07,3270,Jersey & 6th St,40.72528911,-74.04557168,3202,Newport PATH,40.7272235,-74.03375890000001,26282,Subscriber,1968.0,1
